ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40132047,32.0,40.0,40.0,30.0,0.0,40,40.0,40.0,4.7,13.82,9
40132051,17.0,34.0,38.0,40.0,10.0,40,40.0,39.0,0.0,6.98,9
40132408,0.0,0.0,0.0,30.0,0.0,40,0.0,0.0,2.7,3.7,9
40132409,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,9
40132421,0.0,31.0,40.0,30.0,0.0,40,40.0,40.0,3.9,7.51,9
40132424,0.0,19.0,0.0,0.0,0.0,40,35.0,0.0,3.8,9.84,9
40133421,37.0,38.0,38.0,30.0,40.0,40,25.0,26.0,2.2,6.24,9
40133423,25.0,34.0,36.0,0.0,0.0,40,0.0,0.0,0.0,1.35,9
40133424,0.0,0.0,0.0,20.0,0.0,40,0.0,22.0,2.1,3.72,9
40133425,37.0,37.0,40.0,0.0,35.0,40,25.0,40.0,4.1,9.64,9
40133426,37.0,28.5,40.0,0.0,35.0,40,40.0,26.0,0.0,2.565,9
40133427,20.0,39.0,0.0,35.0,40.0,40,25.0,26.0,2.2,5.75,9
40133428,20.0,35.0,34.0,0.0,0.0,40,0.0,32.0,1.4,4.109999999999999,9
40133429,0.0,31.0,40.0,0.0,35.0,40,25.0,0.0,3.8,8.41,9
9933008,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.6,6.9,8
40111020,32.0,34.0,40.0,40.0,40.0,0,38.0,40.0,4.2,9.74,8
40111021,37.0,27.0,38.0,38.0,40.0,40,38.0,40.0,7.0,16.18,8
40111023,40.0,34.0,40.0,40.0,40.0,40,38.0,40.0,6.0,14.719999999999999,8
40111027,0.0,0.0,20.0,0.0,0.0,0,40.0,0.0,1.2,2.3,8
40111028,0.0,34.0,40.0,40.0,40.0,40,38.0,40.0,0.0,4.720000000000001,8
40111029,0.0,34.0,40.0,40.0,40.0,40,40.0,40.0,1.3,5.54,8
40111032,0.0,38.0,40.0,39.0,40.0,40,30.0,40.0,0.0,8.27,8
40111033,35.0,29.0,20.0,0.0,40.0,0,35.0,35.0,6.0,13.44,8
40111034,37.0,0.0,40.0,40.0,40.0,40,36.0,36.0,6.3,15.89,8
40111035,25.0,10.0,25.0,25.0,5.0,40,0.0,25.0,5.0,11.05,8
40111037,0.0,34.0,40.0,38.0,30.0,40,38.0,40.0,4.5,14.7,8
40111041,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
40111045,0.0,0.0,38.0,38.0,0.0,40,0.0,0.0,0.0,1.16,8
40111046,0.0,34.0,35.0,35.0,40.0,40,28.0,0.0,3.9,13.22,8
40111047,40.0,33.0,40.0,40.0,40.0,40,30.0,35.0,6.2,14.18,8
40123003,35.0,34.0,38.0,40.0,40.0,40,40.0,40.0,2.9,12.47,8
40123005,37.0,37.0,40.0,40.0,40.0,40,35.0,33.0,4.3,13.719999999999999,8
40123006,40.0,39.0,40.0,40.0,40.0,40,28.0,30.0,4.3,15.170000000000002,8
40123007,40.0,39.0,40.0,40.0,35.0,40,0.0,35.0,7.0,18.490000000000002,8
40123009,40.0,39.0,15.0,36.0,40.0,40,0.0,0.0,3.2,9.399999999999999,8
40123079,37.0,37.0,40.0,40.0,40.0,40,10.0,40.0,3.8,14.440000000000001,8
40123080,20.0,32.0,40.0,40.0,40.0,40,39.0,40.0,6.3,15.91,8
40123081,40.0,19.0,0.0,38.0,0.0,0,0.0,0.0,4.9,12.27,8
40123082,23.0,25.0,40.0,40.0,40.0,40,40.0,40.0,5.3,15.98,8
40123083,35.0,37.0,40.0,40.0,40.0,40,28.0,40.0,4.8,14.600000000000001,8
40123086,20.0,19.0,38.0,40.0,40.0,40,25.0,40.0,2.8,9.32,8
40123088,37.0,24.0,40.0,38.0,40.0,40,35.0,40.0,4.9,16.740000000000002,8
40123091,30.0,34.0,25.0,36.0,40.0,40,40.0,35.0,3.8,12.899999999999999,8
40123401,37.0,34.0,40.0,37.0,40.0,40,40.0,40.0,5.8,16.68,8
40123402,17.0,32.0,40.0,38.0,40.0,40,28.0,40.0,1.1,5.65,8
40123403,0.0,0.0,40.0,40.0,40.0,40,28.0,40.0,3.7,9.379999999999999,8
40123404,30.0,32.0,40.0,38.0,40.0,40,36.0,40.0,2.9,12.360000000000001,8
40123405,33.0,27.0,40.0,40.0,40.0,40,28.0,40.0,4.3,10.98,8
