ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40127035,22.0,0.0,40.0,30.0,40.0,40,35.0,40.0,5.3,13.27,Dr. Rostami
40127036,40.0,0.0,40.0,0.0,0.0,40,0.0,39.0,3.5,6.49,Dr. Rostami
40127037,27.0,0.0,40.0,35.0,40.0,40,35.0,40.0,5.7,12.77,Dr. Rostami
40127038,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,1.6,2.2,Dr. Rostami
40127039,0.0,0.0,38.0,40.0,0.0,40,40.0,39.0,2.0,5.37,Dr. Rostami
40127040,25.0,0.0,40.0,35.0,30.0,40,40.0,40.0,5.3,9.8,Dr. Rostami
40127048,13.0,0.0,0.0,40.0,0.0,40,0.0,35.0,0.0,2.38,Dr. Rostami
40127050,22.0,0.0,40.0,35.0,40.0,40,40.0,40.0,3.5,10.27,Dr. Rostami
40127051,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.8,Dr. Rostami
40127052,20.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.6,Dr. Rostami
40127053,0.0,0.0,38.0,0.0,39.0,40,40.0,0.0,3.4,6.77,Dr. Rostami
40127054,3.0,0.0,38.0,35.0,40.0,40,40.0,40.0,0.0,4.51,Dr. Rostami
40127056,0.0,0.0,38.0,0.0,0.0,40,0.0,0.0,2.5,5.18,Dr. Rostami
40131424,37.0,0.0,40.0,40.0,40.0,40,35.0,40.0,2.2,10.920000000000002,Dr. Rostami
40131425,37.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.77,Dr. Rostami
40131427,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,Dr. Rostami
40131429,0.0,0.0,40.0,40.0,40.0,40,0.0,0.0,0.0,1.6,Dr. Rostami
40131901,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,1.5,1.9,Dr. Rostami
40133002,0.0,0.0,40.0,40.0,0.0,40,0.0,0.0,4.4,9.8,Dr. Rostami
40133009,0.0,0.0,0.0,0.0,40.0,40,30.0,26.0,2.0,7.760000000000001,Dr. Rostami
40133011,0.0,0.0,40.0,0.0,35.0,40,0.0,40.0,6.0,14.950000000000001,Dr. Rostami
40133014,37.0,0.0,40.0,35.0,40.0,40,40.0,40.0,6.0,17.020000000000003,Dr. Rostami
40133015,37.0,0.0,40.0,35.0,35.0,40,40.0,26.0,5.8,16.03,Dr. Rostami
40133019,37.0,0.0,40.0,35.0,40.0,40,35.0,0.0,6.1,14.37,Dr. Rostami
40133022,40.0,0.0,40.0,35.0,20.0,40,35.0,40.0,6.0,14.4,Dr. Rostami
40133026,37.0,0.0,40.0,35.0,35.0,40,40.0,34.0,2.6,7.359999999999999,Dr. Rostami
40133027,0.0,0.0,0.0,15.0,30.0,40,35.0,40.0,2.4,6.6,Dr. Rostami
40133029,37.0,0.0,40.0,30.0,38.0,40,30.0,0.0,3.45,11.8,Dr. Rostami
40133030,15.0,0.0,40.0,35.0,35.0,40,35.0,0.0,3.8,9.7,Dr. Rostami
40133031,37.0,0.0,40.0,35.0,40.0,40,35.0,40.0,6.0,17.17,Dr. Rostami
40133033,25.0,0.0,40.0,35.0,35.0,40,40.0,39.0,6.0,16.94,Dr. Rostami
40133065,27.0,0.0,40.0,35.0,38.0,40,35.0,34.0,6.4,10.39,Dr. Rostami
40133066,32.0,0.0,40.0,30.0,0.0,40,25.0,40.0,3.3,10.370000000000001,Dr. Rostami
40133067,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,Dr. Rostami
40133069,30.0,0.0,40.0,30.0,40.0,40,35.0,40.0,3.2,11.15,Dr. Rostami
40133070,0.0,0.0,0.0,35.0,35.0,40,35.0,40.0,1.9,6.35,Dr. Rostami
40133071,34.0,0.0,40.0,0.0,40.0,40,35.0,40.0,6.0,14.09,Dr. Rostami
40133072,37.0,0.0,40.0,35.0,30.0,40,35.0,40.0,5.8,11.969999999999999,Dr. Rostami
40133073,40.0,0.0,40.0,35.0,40.0,40,40.0,40.0,4.8,14.25,Dr. Rostami
40133074,22.0,0.0,40.0,30.0,40.0,40,0.0,0.0,6.2,10.02,Dr. Rostami
40133075,35.0,0.0,40.0,35.0,40.0,40,35.0,40.0,6.0,14.45,Dr. Rostami
40133076,0.0,0.0,40.0,35.0,40.0,40,35.0,40.0,4.1,8.6,Dr. Rostami
40011020,25.0,39.0,40.0,40.0,40.0,40,0.0,0.0,0.0,2.24,Dr. Rahmati
40122416,0.0,39.0,38.0,40.0,40.0,40,35.0,35.0,2.9,7.67,Dr. Rahmati
40122418,25.0,0.0,38.0,36.0,40.0,40,0.0,0.0,5.3,7.39,Dr. Rahmati
40122419,0.0,39.0,40.0,40.0,40.0,40,35.0,35.0,1.1,3.99,Dr. Rahmati
40122420,0.0,0.0,40.0,0.0,30.0,40,35.0,35.0,1.9,4.0,Dr. Rahmati
40122421,0.0,40.0,0.0,0.0,0.0,40,28.0,0.0,1.8,5.08,Dr. Rahmati
40122423,0.0,34.0,38.0,40.0,40.0,40,35.0,35.0,1.4,5.970000000000001,Dr. Rahmati
40122431,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,Dr. Rahmati
40124001,0.0,0.0,40.0,25.0,0.0,40,0.0,35.0,1.5,6.8,Dr. Rahmati
40124002,40.0,0.0,38.0,40.0,40.0,40,25.0,0.0,3.4,9.83,Dr. Rahmati
40124003,20.0,0.0,38.0,0.0,0.0,40,0.0,40.0,3.3,4.68,Dr. Rahmati
40124004,40.0,39.0,20.0,18.0,0.0,40,33.0,0.0,5.1,10.399999999999999,Dr. Rahmati
